,Previsões
0,satisfeito
1,satisfeito
2,satisfeito
3,satisfeito
4,satisfeito
5,insatisfeito
6,satisfeito
7,satisfeito
8,satisfeito
9,satisfeito
10,satisfeito
11,satisfeito
12,satisfeito
13,satisfeito
14,satisfeito
15,satisfeito
16,satisfeito
17,satisfeito
18,satisfeito
19,satisfeito
20,satisfeito
21,insatisfeito
22,satisfeito
23,satisfeito
24,insatisfeito
25,satisfeito
26,satisfeito
27,satisfeito
28,insatisfeito
29,satisfeito
30,satisfeito
31,satisfeito
32,satisfeito
33,satisfeito
34,insatisfeito
35,satisfeito
36,satisfeito
37,satisfeito
38,satisfeito
39,satisfeito
40,satisfeito
41,satisfeito
42,satisfeito
43,satisfeito
44,satisfeito
45,satisfeito
46,satisfeito
47,satisfeito
48,satisfeito
49,satisfeito
50,satisfeito
51,satisfeito
52,satisfeito
53,satisfeito
54,satisfeito
55,satisfeito
56,satisfeito
57,insatisfeito
58,satisfeito
59,satisfeito
60,satisfeito
61,satisfeito
62,insatisfeito
63,satisfeito
64,satisfeito
65,satisfeito
66,satisfeito
67,satisfeito
68,satisfeito
69,satisfeito
70,satisfeito
71,satisfeito
72,satisfeito
73,satisfeito
74,satisfeito
75,satisfeito
76,satisfeito
77,satisfeito
78,satisfeito
79,insatisfeito
80,satisfeito
81,satisfeito
82,satisfeito
83,satisfeito
84,satisfeito
85,satisfeito
86,satisfeito
87,satisfeito
88,satisfeito
89,satisfeito
90,satisfeito
91,satisfeito
92,satisfeito
93,insatisfeito
94,satisfeito
95,satisfeito
96,satisfeito
97,satisfeito
98,satisfeito
99,satisfeito
100,satisfeito
101,satisfeito
102,satisfeito
103,satisfeito
104,satisfeito
105,satisfeito
106,satisfeito
107,insatisfeito
108,satisfeito
109,satisfeito
110,satisfeito
111,insatisfeito
112,satisfeito
113,satisfeito
114,satisfeito
115,satisfeito
116,insatisfeito
117,satisfeito
118,insatisfeito
119,insatisfeito
120,satisfeito
121,satisfeito
122,satisfeito
123,satisfeito
124,satisfeito
125,insatisfeito
126,insatisfeito
127,satisfeito
128,satisfeito
129,insatisfeito
130,satisfeito
131,satisfeito
132,satisfeito
133,satisfeito
134,satisfeito
135,satisfeito
136,satisfeito
137,satisfeito
138,satisfeito
139,satisfeito
140,satisfeito
141,satisfeito
142,satisfeito
143,satisfeito
144,satisfeito
145,satisfeito
146,satisfeito
147,satisfeito
148,satisfeito
149,satisfeito
150,satisfeito
151,satisfeito
152,satisfeito
153,satisfeito
154,satisfeito
155,satisfeito
156,satisfeito
